App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,comment_mean,comment_count
Bloomberg Professional,FINANCE,4.1,3334,Varies with device,"500,000+",Free,0,Everyone,Finance,"July 23, 2018",Varies with device,Varies with device,-0.02335272366522368,40
E*TRADE Mobile,FINANCE,3.9,10658,58M,"1,000,000+",Free,0,Everyone,Finance,"August 2, 2018",6.8.2,4.4 and up,0.15327341401364838,32
E*TRADE Mobile,FINANCE,3.9,10657,58M,"1,000,000+",Free,0,Everyone,Finance,"August 2, 2018",6.8.2,4.4 and up,0.15327341401364838,32
Fox Business,FINANCE,3.7,2594,Varies with device,"500,000+",Free,0,Everyone,Finance,"March 13, 2018",Varies with device,Varies with device,0.08882674106938815,34
Current debit card and app made for teens,FINANCE,4.3,685,21M,"50,000+",Free,0,Everyone,Finance,"August 3, 2018",3.0.22,4.4 and up,0.3272583733540765,40
Betterment,FINANCE,4.4,3780,11M,"100,000+",Free,0,Everyone,Finance,"August 3, 2018",6.0.6,5.0 and up,0.14325219763259928,40
Citizens Bank Mobile Banking,FINANCE,4.1,15192,38M,"1,000,000+",Free,0,Everyone,Finance,"May 23, 2018",4.2.1,4.1 and up,0.013179054741554742,39
GoBank,FINANCE,4.4,5950,12M,"500,000+",Free,0,Everyone,Finance,"June 1, 2018",2.131,4.1 and up,0.03910082839680539,39
BBVA Compass Banking,FINANCE,4.3,5905,50M,"500,000+",Free,0,Everyone,Finance,"July 27, 2018",6.0.2,4.4 and up,0.20559022446491657,29
BankMobile Vibe App,FINANCE,4.3,14627,23M,"1,000,000+",Free,0,Everyone,Finance,"July 9, 2018",5.1,4.1 and up,0.3534545768241421,23
ACE Elite,FINANCE,4.1,2898,45M,"100,000+",Free,0,Everyone,Finance,"May 9, 2018",4.10.0,4.4 and up,0.25217091550424886,33
Associated Credit Union Mobile,FINANCE,4.7,3290,12M,"50,000+",Free,0,Everyone,Finance,"May 30, 2018",5.9.1.0,5.0 and up,0.3880928287981859,35
Bank of America Mobile Banking,FINANCE,4.4,341090,53M,"10,000,000+",Free,0,Everyone,Finance,"July 31, 2018",7.8.8,4.4 and up,0.1800268291975881,32
Discover Mobile,FINANCE,4.6,87951,68M,"5,000,000+",Free,0,Everyone,Finance,"July 23, 2018",9.7.0,4.1 and up,-0.041666666666666664,1
Amex Mobile,FINANCE,4.3,24729,32M,"1,000,000+",Free,0,Everyone,Finance,"August 3, 2018",6.7.0,5.0 and up,0.17566632595799264,36
Citi Mobile®,FINANCE,4.0,78306,46M,"5,000,000+",Free,0,Everyone,Finance,"July 31, 2018",9.9.0,4.4 and up,-0.03873065476190477,40
Chase Mobile,FINANCE,4.6,1374549,32M,"10,000,000+",Free,0,Everyone,Finance,"July 23, 2018",3.52,5.0 and up,0.04816599670171098,40
HDFC Bank MobileBanking,FINANCE,4.2,208463,Varies with device,"10,000,000+",Free,0,Everyone,Finance,"July 26, 2018",Varies with device,Varies with device,0.11144867037724179,35
Barclays US for Android,FINANCE,4.1,6998,24M,"1,000,000+",Free,0,Everyone,Finance,"August 1, 2018",6.29.37589,5.0 and up,0.017928003998316493,40
Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9M,"100,000+",Free,0,Everyone,Food & Drink,"May 15, 2018",2.12,4.0.3 and up,0.27053819444444444,40
Debonairs Pizza,FOOD_AND_DRINK,3.8,3320,8.4M,"500,000+",Free,0,Everyone,Food & Drink,"August 4, 2018",1.9.117,4.0.3 and up,0.046527777777777814,6
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68103,66M,"1,000,000+",Free,0,Everyone,Food & Drink,"June 20, 2018",5.0.0,4.4 and up,0.19655992978082382,38
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68270,66M,"1,000,000+",Free,0,Everyone,Food & Drink,"June 20, 2018",5.0.0,4.4 and up,0.19655992978082382,38
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35M,"5,000,000+",Free,0,Everyone,Food & Drink,"August 2, 2018",7.12,5.0 and up,0.12273932938406623,76
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35M,"5,000,000+",Free,0,Everyone,Food & Drink,"August 2, 2018",7.12,5.0 and up,0.12273932938406623,76
Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,"10,000,000+",Free,0,Everyone,Food & Drink,"July 20, 2018",Varies with device,Varies with device,0.20907864159338216,53
Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,"10,000,000+",Free,0,Everyone,Food & Drink,"July 20, 2018",Varies with device,Varies with device,0.20907864159338216,53
Dairy Queen,FOOD_AND_DRINK,3.7,731,43M,"100,000+",Free,0,Everyone,Food & Drink,"July 25, 2018",2.1.0,4.1 and up,0.18940972222222222,3
Dairy Queen,FOOD_AND_DRINK,3.6,742,43M,"100,000+",Free,0,Everyone,Food & Drink,"July 25, 2018",2.1.0,4.1 and up,0.18940972222222222,3
Healthy Recipes Free,FOOD_AND_DRINK,4.0,1077,17M,"100,000+",Free,0,Everyone,Food & Drink,"October 18, 2017",3.2.0,4.0.3 and up,0.4033939116439117,39
Cookbook Recipes,FOOD_AND_DRINK,4.1,46539,Varies with device,"5,000,000+",Free,0,Teen,Food & Drink,"July 23, 2018",Varies with device,Varies with device,0.5654370380932882,37
Easy Healthy Recipes,FOOD_AND_DRINK,4.1,278,7.2M,"50,000+",Free,0,Everyone,Food & Drink,"July 20, 2018",24.5.0,4.0 and up,0.44576247387669793,29
Allrecipes Dinner Spinner,FOOD_AND_DRINK,4.5,61881,Varies with device,"5,000,000+",Free,0,Everyone,Food & Drink,"April 10, 2018",Varies with device,Varies with device,0.27299954431533385,19
Cookpad,FOOD_AND_DRINK,4.5,131569,8.2M,"10,000,000+",Free,0,Everyone,Food & Drink,"August 3, 2018",2.76.2.0-android,4.2 and up,0.25743676847843516,36
"BigOven Recipes, Meal Planner, Grocery List & More",FOOD_AND_DRINK,4.3,31986,76M,"1,000,000+",Free,0,Teen,Food & Drink,"November 23, 2017",5.7.23,5.0 and up,0.32822240259740265,40
Foursquare City Guide,FOOD_AND_DRINK,4.1,483960,Varies with device,"10,000,000+",Free,0,Teen,Food & Drink,"July 23, 2018",Varies with device,Varies with device,0.20027867965367965,28
Eat24 Food Delivery & Takeout,FOOD_AND_DRINK,4.3,40116,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"August 2, 2018",Varies with device,Varies with device,0.17161052142302144,40
BeyondMenu Food Delivery,FOOD_AND_DRINK,4.7,51517,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"August 1, 2018",Varies with device,Varies with device,0.4087426900584794,38
BeyondMenu Food Delivery,FOOD_AND_DRINK,4.7,51543,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"August 1, 2018",Varies with device,Varies with device,0.4087426900584794,38
EatStreet Food Delivery App,FOOD_AND_DRINK,4.6,7690,25M,"100,000+",Free,0,Everyone,Food & Drink,"July 3, 2018",3.1.14,5.0 and up,0.3832653026403027,37
Caviar - Food Delivery,FOOD_AND_DRINK,4.2,3755,8.5M,"100,000+",Free,0,Everyone,Food & Drink,"July 20, 2018",2.4.11,6.0 and up,0.21737478089040585,39
DoorDash - Food Delivery,FOOD_AND_DRINK,4.5,104504,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"July 31, 2018",Varies with device,Varies with device,0.07240710302429053,40
Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,428156,15M,"10,000,000+",Free,0,Everyone,Health & Fitness,"June 28, 2018",Varies with device,Varies with device,0.33835185647685645,26
Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,432160,15M,"10,000,000+",Free,0,Everyone,Health & Fitness,"June 28, 2018",Varies with device,Varies with device,0.33835185647685645,26
30 Day Fitness Challenge - Workout at Home,HEALTH_AND_FITNESS,4.8,471036,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"August 3, 2018",Varies with device,4.0 and up,0.33353687339286425,31
Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.8,12705,15M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 10, 2018",1.0.2,4.0 and up,0.5234495192307692,26
Fat Burning Workout - Home Weight lose,HEALTH_AND_FITNESS,4.5,706,9.4M,"100,000+",Free,0,Everyone,Health & Fitness,"July 24, 2018",1.0.5,4.1 and up,0.17526900953984287,36
Fitbit,HEALTH_AND_FITNESS,3.9,357417,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 26, 2018",Varies with device,Varies with device,0.24555465367965368,6
Cycling - Bike Tracker,HEALTH_AND_FITNESS,4.5,9116,4.0M,"500,000+",Free,0,Everyone,Health & Fitness,"July 30, 2018",1.1.22,4.1 and up,0.3521468253968254,25
Abs Training-Burn belly fat,HEALTH_AND_FITNESS,4.7,2071,6.9M,"100,000+",Free,0,Everyone,Health & Fitness,"July 24, 2018",1.0.12,4.1 and up,0.21741882334004725,36
Calorie Counter - EasyFit free,HEALTH_AND_FITNESS,4.7,50294,11M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 9, 2018",3.0.7,4.1 and up,0.34802871788058476,37
Garmin Connect™,HEALTH_AND_FITNESS,3.9,232153,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"August 2, 2018",Varies with device,Varies with device,0.15480992965367965,40
BetterMe: Weight Loss Workouts,HEALTH_AND_FITNESS,4.2,14709,15M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 26, 2018",2.8.2,5.0 and up,0.29227532274407275,37
Bike Computer - GPS Cycling Tracker,HEALTH_AND_FITNESS,4.4,12029,4.3M,"1,000,000+",Free,0,Everyone,Health & Fitness,"August 4, 2018",2.6,4.2 and up,0.28197840354090353,39
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873516,Varies with device,"50,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.21567351536839977,255
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873523,Varies with device,"50,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.21567351536839977,255
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873520,Varies with device,"50,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.21567351536839977,255
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873520,Varies with device,"50,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.21567351536839977,255
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873523,Varies with device,"50,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.21567351536839977,255
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67M,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 11, 2018",3.5.0,5.0 and up,0.2648642413061273,171
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67M,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 11, 2018",3.5.0,5.0 and up,0.2648642413061273,171
Couch to 10K Running Trainer,HEALTH_AND_FITNESS,4.6,10445,48M,"500,000+",Free,0,Everyone,Health & Fitness,"July 2, 2018",112.0,4.4 and up,0.33737879109977326,40
"Home workouts - fat burning, abs, legs, arms,chest",HEALTH_AND_FITNESS,4.3,4848,13M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 18, 2018",2.6,4.1 and up,0.4482204861111111,8
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 16, 2018",3.48,4.1 and up,0.19199594209527243,40
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 16, 2018",3.48,4.1 and up,0.19199594209527243,40
7 Minute Workout,HEALTH_AND_FITNESS,4.5,399009,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"June 8, 2018",Varies with device,Varies with device,0.41027777777777774,11
Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25M,"10,000,000+",Free,0,Everyone,Health & Fitness,"August 3, 2018",5.3,5.0 and up,0.27425068204365083,32
Daily Workouts - Exercise Fitness Routine Trainer,HEALTH_AND_FITNESS,4.4,134195,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"June 14, 2018",Varies with device,Varies with device,0.8,1
Google Fit - Fitness Tracking,HEALTH_AND_FITNESS,3.9,249855,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 24, 2018",Varies with device,Varies with device,0.1300530303030303,40
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.25701764670514676,12
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.25701764670514676,12
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.25701764670514676,12
Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,4.9,28945,12M,"500,000+",Free,0,Teen,Health & Fitness,"May 17, 2018",2.6.1,4.2 and up,0.2918472637721827,40
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15M,"100,000+",Free,0,Everyone,Health & Fitness,"August 2, 2018",3.0.0,4.1 and up,0.2580136784511785,80
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15M,"100,000+",Free,0,Everyone,Health & Fitness,"August 2, 2018",3.0.0,4.1 and up,0.2580136784511785,80
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111450,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,"August 5, 2018",Varies with device,Varies with device,0.28952420092117903,65
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111455,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,"August 5, 2018",Varies with device,Varies with device,0.28952420092117903,65
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39M,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,0.22700757575757577,11
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39M,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,0.22700757575757577,11
Best Ovulation Tracker Fertility Calendar App Glow,HEALTH_AND_FITNESS,4.6,56145,23M,"1,000,000+",Free,0,Everyone,Health & Fitness,"August 1, 2018",7.3.4-play,5.0 and up,0.5953125,1
"Eve Period Tracker - Love, Sex & Relationships App",HEALTH_AND_FITNESS,4.6,20326,28M,"1,000,000+",Free,0,Teen,Health & Fitness,"August 4, 2018",2.9.18,4.1 and up,0.5050367080835831,26
Couch to 5K by RunDouble,HEALTH_AND_FITNESS,4.7,15674,6.1M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",4.5.4,4.1 and up,0.27732642225499365,39
Fooducate Healthy Weight Loss & Calorie Counter,HEALTH_AND_FITNESS,4.4,14402,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"August 3, 2018",Varies with device,Varies with device,0.35421692335820476,37
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 16, 2018",6.5.1,5.0 and up,0.3758419955914816,139
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 16, 2018",6.5.1,5.0 and up,0.3758419955914816,139
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8M,"500,000+",Free,0,Everyone 10+,Health & Fitness,"February 17, 2017",1.9,2.3.3 and up,0.4707328206587228,194
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8M,"500,000+",Free,0,Everyone 10+,Health & Fitness,"February 17, 2017",1.9,2.3.3 and up,0.4707328206587228,194
Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5M,"100,000+",Free,0,Everyone,Health & Fitness,"August 27, 2016",2.3.4,5.0 and up,0.24751868247122882,200
Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5M,"100,000+",Free,0,Everyone,Health & Fitness,"August 27, 2016",2.3.4,5.0 and up,0.24751868247122882,200
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3M,"500,000+",Free,0,Everyone,Health & Fitness,"July 15, 2018",3.3,4.0 and up,0.3915107709750568,112
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3M,"500,000+",Free,0,Everyone,Health & Fitness,"July 15, 2018",3.3,4.0 and up,0.3915107709750568,112
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"March 22, 2018",Varies with device,Varies with device,0.2291776923748649,135
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"March 22, 2018",Varies with device,Varies with device,0.2291776923748649,135
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,"100,000+",Free,0,Everyone,Health & Fitness,"January 29, 2018",10.2.0,4.0 and up,0.09797280294231513,41
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,"100,000+",Free,0,Everyone,Health & Fitness,"January 29, 2018",10.2.0,4.0 and up,0.09797280294231513,41
Eat Fit - Diet and Health Free,HEALTH_AND_FITNESS,4.1,2469,3.6M,"100,000+",Free,0,Everyone,Health & Fitness,"July 23, 2014",1.0.9,2.3 and up,0.24504414682539688,90
Happify,HEALTH_AND_FITNESS,3.7,1812,37M,"100,000+",Free,0,Everyone,Health & Fitness,"July 24, 2018",1.31.0-15160.950adac99,4.4 and up,0.21889678030303028,4
Binaural Beats Therapy,HEALTH_AND_FITNESS,4.3,13724,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"August 17, 2017",Varies with device,Varies with device,0.2832687528520861,39
Brain Waves - Binaural Beats,HEALTH_AND_FITNESS,4.4,5038,10M,"500,000+",Free,0,Everyone,Health & Fitness,"July 15, 2018",5.2,4.4 and up,0.22173148899711398,40
7 Cups: Anxiety & Stress Chat,HEALTH_AND_FITNESS,4.2,13799,Varies with device,"500,000+",Free,0,Teen,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.32467013888888896,8
Apartments & Rentals - Zillow,HOUSE_AND_HOME,4.2,27386,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,"June 21, 2018",Varies with device,Varies with device,0.2929916863439591,44
Apartments & Rentals - Zillow,HOUSE_AND_HOME,4.2,27387,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,"June 21, 2018",Varies with device,Varies with device,0.2929916863439591,44
"Homes.com 🏠 For Sale, Rent",HOUSE_AND_HOME,4.0,6000,18M,"1,000,000+",Free,0,Everyone,House & Home,"July 28, 2018",9.6.8,4.1 and up,0.23836580086580084,21
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481,7.5M,"1,000,000+",Free,0,Everyone,House & Home,"August 3, 2018",2.1.0,5.0 and up,0.46642287234042545,47
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481,7.5M,"1,000,000+",Free,0,Everyone,House & Home,"August 3, 2018",2.1.0,5.0 and up,0.46642287234042545,47
Gold Butterfly Keyboard Theme,HOUSE_AND_HOME,4.3,10054,9.1M,"1,000,000+",Free,0,Everyone,House & Home,"July 12, 2018",6.7.12.2018,4.0.3 and up,0.4308228519166018,39
"Apartment, Home Rental Search: Realtor.com Rentals",HOUSE_AND_HOME,3.9,10117,13M,"1,000,000+",Free,0,Everyone,House & Home,"June 29, 2018",3.6,4.0.3 and up,-0.0037329004329004177,25
DIY On A Budget,HOUSE_AND_HOME,4.7,114,8.3M,"10,000+",Free,0,Teen,House & Home,"February 18, 2018",2.1,4.1 and up,0.4480626407472999,33
Free Foreclosure Real Estate Search by USHUD.com,HOUSE_AND_HOME,3.4,287,27M,"100,000+",Free,0,Everyone,House & Home,"May 29, 2018",2.4.2,4.4 and up,-0.03836728574277404,37
Home Security Camera WardenCam - reuse old phones,HOUSE_AND_HOME,4.3,43800,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,"July 6, 2018",Varies with device,Varies with device,0.20145736208236212,26
Home Security Camera WardenCam - reuse old phones,HOUSE_AND_HOME,4.3,43847,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,"July 6, 2018",Varies with device,Varies with device,0.20145736208236212,26
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584,16M,"1,000,000+",Free,0,Everyone,House & Home,"July 16, 2018",4.7.13,4.4 and up,0.07240305487588096,69
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584,16M,"1,000,000+",Free,0,Everyone,House & Home,"July 16, 2018",4.7.13,4.4 and up,0.07240305487588096,69
Alfred Home Security Camera,HOUSE_AND_HOME,4.5,103305,Varies with device,"5,000,000+",Free,0,Everyone,House & Home,"July 31, 2018",Varies with device,Varies with device,0.3375742424242425,30
Home Decor Showpiece Art making: Medium Difficulty,HOUSE_AND_HOME,4.3,273,7.0M,"50,000+",Free,0,Everyone,House & Home,"May 30, 2018",1.2,4.0.3 and up,0.1918666666666667,25
ColorSnap® Visualizer,HOUSE_AND_HOME,3.4,3280,77M,"1,000,000+",Free,0,Everyone,House & Home,"June 29, 2018",5.0.1,4.0.3 and up,0.024391025641025646,39
Apartment Decorating Ideas,HOUSE_AND_HOME,3.9,1478,5.7M,"100,000+",Free,0,Everyone,House & Home,"March 13, 2015",1.2,3.0 and up,0.245,1
Bathroom Decorating Ideas,HOUSE_AND_HOME,4.1,2427,5.3M,"500,000+",Free,0,Everyone,House & Home,"March 12, 2015",1.4,3.0 and up,0.36267578124999994,40
Homesnap Real Estate & Rentals,HOUSE_AND_HOME,4.3,3834,30M,"500,000+",Free,0,Everyone,House & Home,"July 31, 2018",5.20.38,4.2 and up,0.2768480017006803,35
Aviary Effects: Classic,LIBRARIES_AND_DEMO,3.8,67007,232k,"5,000,000+",Free,0,Everyone,Libraries & Demo,"March 6, 2013",1.2.0,2.2 and up,0.10624119358661764,37
Chakra Cleansing,LIBRARIES_AND_DEMO,4.6,539,99M,"50,000+",Free,0,Everyone,Libraries & Demo,"August 2, 2018",7.0,4.0.3 and up,0.42473518668831184,40
Aviary Stickers: Free Pack,LIBRARIES_AND_DEMO,3.5,126862,624k,"10,000,000+",Free,0,Everyone,Libraries & Demo,"January 17, 2012",1.0,2.2 and up,0.06582855257855258,37
Binaural Beats Meditation,LIBRARIES_AND_DEMO,4.3,411,95M,"50,000+",Free,0,Everyone,Libraries & Demo,"June 8, 2018",5.0,4.0.3 and up,0.35351810515873006,40
Essential Resources,LIBRARIES_AND_DEMO,4.6,237,8.5k,"50,000+",Free,0,Everyone,Libraries & Demo,"September 27, 2017",1.02,7.1 and up,0.28141962312860747,40
Apk Installer,LIBRARIES_AND_DEMO,3.8,7750,292k,"1,000,000+",Free,0,Everyone,Libraries & Demo,"June 29, 2011",1.0,1.6 and up,0.19391694725028052,27
Cool Popular Ringtones 2018 🔥,LIBRARIES_AND_DEMO,4.5,60170,28M,"1,000,000+",Free,0,Everyone,Libraries & Demo,"July 13, 2018",2.4,5.0 and up,0.20348488136574072,36
Barcode Scanner,LIBRARIES_AND_DEMO,4.2,3945,9.4M,"500,000+",Free,0,Everyone,Libraries & Demo,"January 9, 2018",4.2.2,3.2 and up,0.3862701337701337,37
EyeCloud,LIBRARIES_AND_DEMO,3.1,1267,55M,"100,000+",Free,0,Everyone,Libraries & Demo,"August 2, 2018",5.1.2,4.4 and up,0.11717855447022113,39
Easy Hair Style Design,LIFESTYLE,4.3,601,5.1M,"100,000+",Free,0,Everyone,Lifestyle,"December 20, 2017",1.0,2.3 and up,0.49020370370370353,30
Easy Makeup Tutorials,LIFESTYLE,4.3,7287,5.0M,"1,000,000+",Free,0,Everyone,Lifestyle,"November 3, 2016",1.0,2.3 and up,0.2819713754609588,36
Horoscopes – Daily Zodiac Horoscope and Astrology,LIFESTYLE,4.6,161143,11M,"10,000,000+",Free,0,Everyone 10+,Lifestyle,"June 25, 2018",5.2.4(881),4.0.3 and up,0.2643148577612863,35
Entel,LIFESTYLE,3.2,16168,55M,"1,000,000+",Free,0,Everyone,Lifestyle,"July 26, 2018",2.2.9,4.0.3 and up,0.01857711732711733,39
Diary with lock,LIFESTYLE,4.6,815893,4.4M,"10,000,000+",Free,0,Everyone,Lifestyle,"June 30, 2018",4.90,4.1 and up,0.2837633405132804,99
Diary with lock,LIFESTYLE,4.6,815280,4.4M,"10,000,000+",Free,0,Everyone,Lifestyle,"June 30, 2018",4.90,4.1 and up,0.2837633405132804,99
FOSSIL Q: DESIGN YOUR DIAL,LIFESTYLE,4.3,985,16M,"500,000+",Free,0,Everyone,Lifestyle,"May 31, 2018",3.7,7.0 and up,0.2397669880624426,33
Family Locator - GPS Tracker,LIFESTYLE,4.4,726074,45M,"10,000,000+",Free,0,Everyone,Lifestyle,"August 2, 2018",16.7.1,4.4 and up,0.3585753523851348,115
HTC Speak,LIFESTYLE,3.5,6145,13M,"10,000,000+",Free,0,Everyone,Lifestyle,"June 30, 2016",8.00.775375,5.0 and up,0.004105720668220667,39
H&M,LIFESTYLE,3.7,41941,14M,"10,000,000+",Free,0,Everyone,Lifestyle,"July 30, 2018",9.6.3,4.4 and up,0.02447295645212312,37
H&M,LIFESTYLE,3.7,41917,14M,"10,000,000+",Free,0,Everyone,Lifestyle,"July 30, 2018",9.6.3,4.4 and up,0.02447295645212312,37
Anime Avatar Creator: Make Your Own Avatar,LIFESTYLE,4.2,10944,36M,"1,000,000+",Free,0,Everyone,Lifestyle,"June 15, 2018",2.0,4.1 and up,0.20215771508819977,28
Beautiful Design Birthday Cake,LIFESTYLE,4.3,665,3.0M,"500,000+",Free,0,Everyone,Lifestyle,"August 4, 2018",2.0,2.3 and up,0.2703075396825396,36
H Pack,LIFESTYLE,4.3,9412,1.7M,"1,000,000+",Free,0,Everyone,Lifestyle,"December 17, 2016",1.5.1,4.0.3 and up,0.10824242424242422,40
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8M,"100,000+",Free,0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.0553256570126039,113
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8M,"100,000+",Free,0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.0553256570126039,113
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8M,"100,000+",Free,0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.0553256570126039,113
Big Days - Events Countdown,LIFESTYLE,4.6,39724,Varies with device,"1,000,000+",Free,0,Everyone,Lifestyle,"June 29, 2018",Varies with device,Varies with device,0.28541372721928276,36
DIY Garden Ideas,LIFESTYLE,4.1,3309,13M,"500,000+",Free,0,Everyone,Lifestyle,"August 5, 2018",10.0,4.0 and up,0.44404411764705887,34
